casa	photo
talón 	 cáscara
pingüino	frasco
beverage	nube
ruina	heno
cultivo	cucaracha
nido	fruta
cirujano	 níquel
opaco	dedo
champaña	espada
ruidoso	caballo
cráter	pesca
menos	flor
plátano	escalar
saco	vacaciones
bigote	artista
avena	océano
rancio	collar
delgado	pan
tierra	leche
carreta	mermelada
salto	disparar
miembro	cantar
fuerte	matemáticas
mayordomo	florecer
colcha	montar
