marido	esposa
calendario	fecha
caramelos	dulce
pie	zapato
almuerzo	cena
herramienta	martillo
falda	vestido
bosquecillo	naranja
bistec	carne
centro  	manzana
olla	 sartén
alcohol	cerveza
bosque	forestal
capitan	barco
rabia	ira
zumbido	abeja
poco profundo	profundo
viga	madera
altura	peso
cuchillo	tenedor
medialuna	luna
pastura	vaca
portón	cerca
oreja	oír
molécula	átomo
 avión	volar
traqueteo	víbora
béisbol	murciélago
cierre	pantalones
deuda	deber
miembro	brazo
cacerola	sartén
esconder	buscar
herramientas	martillo
bañera	ducha
crudo	carne
res	carne
prestar	pedir prestado
primavera	verano
barriga	estómago
róbalo	pescado
soldado	ejército
caballero	dama
vainilla	chocolate
tabaco	cigarrillo
cereal	desayuno
deporte	futbol americano
visitante	invitado
placa	dientes
estación	gasolina
navegación	barco
furgoneta	camioneta
escritorio	silla
abrigo	chaqueta
pie	dedo
ruidoso	ruido
geometría	matemáticas
veneno	ponzoña
quemar	fuego
albur	chiste
navío	barco
florecer	flor
húmedo	mojado
tostado	pan
fruta	manzana
callado	ruidoso
multitud	muchedrumbre
rancho	caballo
bota	zapatos
vista	ojo
inteligente	tonto
bigote	barba
pintor	artista
par	dos
pulmón 	respirar
cinturón	pantalones
ministro	sacerdote
carruaje	caballo
paloma	pajaro
acero	hierro
ancla	bote
gema	diamante
palacio	castillo
huevos	tocino
neblina	niebla
minero	carbón
monje	sacerdote
jinete	caballo
lino	sábana
bar 	cantina
divorcio	matrimonio
cielo raso	piso
espada	cuchillo
tarta	manzana
sofá	silla
cuello	camisa
labios	beso
separar	dividir
pintar	brocha
puntada	coser
tirar	pelota
calabaza	tarta
veneno	vibora
saltar	brincar
ola	oceano
dibujo	arte
órgano	piano
piel	abrigo
piscina	nadar
nube	lluvia
coro	cantar
estatua	libertad
descarga	inodoro
pelota	bate
hornear	pastel
comida	cena
trapo	material
escalar	montaña
tortuga	lento
llorar	lagrimas
apuñalar	cuchillo
radio	estéreo
pulgar	dedo
dolar	centavos
altura	alto
coro	cantar
miembro	arbol
garganta	cuello
poeta	escritor
caña	azúcar
empleado	empresa
escamas	pescado
dientes	boca
monja	sacerdote
sombra	arbol
tornado	huracán
pantalones cortos	pantalones
masa	pan
esbelto	gordo
terciopelo	suave
puñetazo	pegar
beso	abrazo
botón	camisa
lechuga	ensalada
grano	trigo
lluvia	mojado
naranja	fruta
guitarra	cuerda
mosquito	morder
pingüino	pajaro
cielo  	nube
uñas	dedo
sendero	camino
mancha	punto
motor	máquina
 química	ciencia
bodega	sótano
vara	pesca 
cráter	luna
apagado	aburrido
anillo	dedo
curva	recta
camarón 	pescado
tirar	cachar
polvo	tierra
perfume	oler
estallido	pistola
mena	hierro
revolver	huevos
alce	venado
nudo	amarrar
nudo	cuerda
incienso	oler
aspirina	jaqueca
tirar	lanzar
rabino	sacerdote
pudín	chocolate
raso	seda
cable	teléfono 
mosca	bicho
 cajón	cómoda
joya	diamante
aguacil	policía
lana	oveja
tenis	raqueta
pajaro	mosca
escalar	arbol
galón	leche
cereal	leche
espada	cuchillo
escarcha	nieve
lanzar	cohete
candado	puerta
pantalones cortos	camisa
verdura	fruta
estafar	 ladrón
galleta	chocolate
engañar	trato
chocolate	caramelo
gordo	delgado
ciencia	biología
 sofá 	 sillón
papa frita	papa
gorila	chango
explotar	bomba
abogar	rogar
ciruela	fruta
coca	bebida
marisco	 camarón
granito	piedra
párrafo	 oración
cosecha	maíz
ancla	barco
divorcio	separar
brocha	dientes
baya	fruta
aburrido	cansado
cortina	ventana
cocido	res
bandera	poste
tambor	palo
remedio	cura
cumpleaños	pastel
laberinto	enredo
alas	volar
tomate	verduras
arrendamiento	alquilar
miel	abeja
labio	boca
dentista	doctor
garrapata	pulga
aguja	alfiler
papel de aluminio	aluminio
hoyo	agujero
oveja	cordero
camello	desierto
huracán	tormenta
verdura	fruta
plátano	fruta
rastrillo	navaja
escalera	escalar
compromiso	anillo
cuerda	soga
pierna	pie
apuesta	apostar
taza	cerveza
indicio	pista
pesca	poste
carga	pesado
estaca	cerca
pato	estanque
lavanderia	sucio
moción	movimiento
manguera	 jardín
mosquito	bicho
 champaña	vino
fiestas	vacaciones
clavos	martillo
gritar	grito
tractor	remolque
horno	estufa
lechuga	tomate
ganso	pato
toalla	seco
púrpura	color
bicicleta	paseo
edredón	cobija
pegamento	pegajoso
vampiro	murciélago
bella	bestia
cavar	pala
vibora	morder
basurero	basura
cuenta	collar
calina	neblina
fiebre	enfermo
vaquero	caballo
 ladrón	acero
chaleco	chaqueta
hambruna	hambre
asaltante	ladrón
oponente	enemigo
cintura	cadera
arruinar	destruir
fresa	fruta
 mandíbula	boca
visión	vista
sonrojo	avergonzar
ganga	venta 
violeta	púrpura
envidia	celos
heno	caballo
húmedo	mojado
empapar	mojado
calabaza	Víspera del Día de Todos los Santos
pastilla	medicina
encendedor	cigarrillo
listón	moño
refresco	coca
sueldo	salario
juvenil	delincuente
preso	 cárcel
agua tónica	ginebra
bebida	refresco
galleta	frasco
brincar	soga
capullo	mariposa
lanzar	transbordador
granizo	lluvia
palomitas de maiz	mantequilla
hermoso	feo
ajo	pan
rastrillo	afilado
perdón	excusa
cabina	teléfono
perla	collar
tierra	arena
mermelada	confitura
carro	rueda
borde	acantilado
carrete	vara
terremoto	temblar
hervidor	 té
avispa	picadura
hornear	cocinar
trigo	pan
tumba	sepultura
zanahoria	conejo
cereza	tarta
hierba	especia
deprisa	apurarse
gorila	simio
dolorido	herir
cosecha	granja
bicho	cucaracha
niebla toxica	neblina
término	semestre
centavo	cinco centavos
avispa	abeja
jamón	cerdo
violación	multa
ceniza	cigarrillo
fantasma	espíritu
derramar	leche
rancio	pan
dividir	multiplicar
cortina	vara
marinero	barco
bailarín	ballet
amargado	agrio
cerda	brocha
fingir	falso
granero	caballo
campo	cesped
vergüenza	culpa
ansioso	nervioso
doblar	quebrar
estufa	cocinar
puro	cigarrillo
talón	zapato 
máscara	esconder
 químico	científico
barril	cerveza
barriga	 botón
ruina	accidente
rubí	diamante
casco	gorro
grava	piedras
hiedra	veneno
nailon	medias
órgano 	donante
almohada	suave
almeja	ostra
cocido	sopa
fraternidad	hermandad
criada	sirvienta
jeep	camioneta
granero	vaca 
hervidor	olla
zanahoria	conejo
saludo	bandera
escudo	 protección
trapo	tela
durazno	fruta
alergia	estornudar
muelle	pesca
descomposición	pudrirse
trompeta	instrumento
agente	policía
bebida	cerveza
cobre	centavo 
cautivo	prisionero
catástrofe	desastre
cereza	fruta
rebanada	tarta
papas fritas	papa
cebolla	llorar
jamon	huevos
enemigo	rival
vodka	bebida
tostado	mantequilla
echar a perder	podrido
zanahoria	naranja
esfera	circulo
granero	heno
cavar	hoyo
harina	pastel
 polución	niebla toxica
tostador	pan
casarse	casar
uapiti	alce
falda	blusa
flaco	delgado
horneado	papa
escombro	basura
hambriento	padecer de hambre
tesoro	cofre
zanahoria	verduras
pascua	huevos
heroína	héroe
escaleras	escalar
vaquera	vaquero
oler	peste
calabaza	naranja
ron	licor
tenue	brillante
tortuga	concha
mimbre	canasta
pulir	brillo
deslizar	resbalar
patio de recreo	columpio
trofeo	galardón
pulgar	uña
enjuagar	lavar
estomago	dolor
basurero	basura
suéter	tibio
taberna	bar 
guerrero	luchador
nido	huevo 
paja	heno
pinta	leche
aflojar	apretar
tres	cuatro
papas  	papas fritas
arrecife	océano
avena	caballo
aguja	coser
posada	motel
tragar	pajaro
flotar	hundirse
tejer	estambre
jarabe	arce
pepino	verduras
saltar	brincar
disfrazar	máscara
obstruir	desagüe
diploma	graduación 
doble	dos
 búho	pajaro
gastrónomo	cocinero
peste	bicho
fragancia	perfume
póquer	ficha
 mandíbula 	dientes
lana	suéter
desordenado	limpio
escalera mecánica	ascensor
riesgo	peligro
pala	tierra
pasillo	corredor
compañero	amigo
avena	desayuno
moneda 	centavo 
tocar el violín	violín
mariscos	langosta
luna de miel	boda
detergente	 jabón
esponjoso	suave
robo	robar
avena	cereal
peaje	caseta
canela	especia
furia	ira
nailon	calceta
flauta	intrumento
adjetivo	sustantivo
repollo	lechuga
correa	cinturón
tos	estornudar
mula	caballo
horno	hornear
acarrear	cargar
colorete	sonrojarse
maldición	bruja
tenso	nervioso
medalla	galardón
alerta	despierto
alojar	cabaña
limón	agrio
guerrero	soldado
derretir	mantequilla
cemento	acera
esmeralda	diamante
 mamífero	ballena
apacible	suave
esbelto	delgado
patos	estanque
zanahoria	verduras
nube	humo
coñac 	licor
canela	tostado
insignia	policía
escudo	armadura
cebolla	oler
tachuela	pulgar
apio	zanahoria
ascensor	escalera
porche	columpio
champaña	burbuja
sable	espada
pantano	lodo
deterioro	diente 
balsa	flotar
pavimiento	acera
marinero	armada
bata	baño
sepelio	funeral
dia de campo	canasta
fábula	cuento
ordenado	desordenado
cuerda	papalote
placa	galardón
barrera	arrecife
laberinto	rompecabezas
losa	hormigón
cien	mil
lagarto	vibora
pascua	conejo
ambición	meta
raso	 sábanas 
ángulo	geometría
denso	grueso
estallar	burbuja
grasa de ballena	ballena
hormiga	insecto
incorrecto	correcto
dia de campo	hormiga
apio	verduras
ajedrez	juego de damas
cera	vela
ostra	concha
talón	dedo
garganta	doloroso
papel de aluminio	estaño
mandibula	tiburón
hostilidad	ira
charco	lodo
tejer	cocer
archivador	carpeta
violeta	flor
mortífero	veneno
migaja	pastel
peso	libra
peldaño	escalera
floración	florecer
mayordomo	sirviente
cuatro	cinco
sordo	ciego
trago	tragar
engañar	mentir
ascender	descender
escarabajo	jugo
cartera	bolsa
langosta	cangrejo
tapadera	frasco
triunfo	victoria
encintado	acera
percatación	alerta
casarse	divorcio
enchufe	clavija
neutrón	electrón
fideos	espagueti
alacena	armario
orquesta	 violín
silbar	soplar
cojear	pierna
canasta	entrelazar
tachuela	clavo
valiente	valentia
convencer	persuadir
bulto	batacazo
fideos	sopa
vapor	vapor
disfrazar	esconder
silencioso	ruidoso
fétido	oler
condimento	especia
estallar	explotar
susurrar	silencioso
 confesión	sacerdote
ratero	ladrón
organizar	aseado
rayo	relámpago 
descongelar	congelar
costumbre	 tradición
flexible	doblar
bufanda	cuello
sincero	honesto
melaza	jarabe
cerrojo	seguro
almidón	tieso
 grados centígrados	fahrenheit
 precaución	peligro
ahogarse	tos 
crochet	tejer
frustración	ira
altura	alto
derramar	desorden 
violonchelo	violín
acarrear	jalar
rin	llanta
habilidad	talento
choza	paja
monarca	gobernante
sacudir	traqueteo
gritar	ruidoso
frasco	mermelada
mayonesa	mostaza
bastilla	falda
gritar	grito
mildiu	moho
ordenado	aseado
destino	hado
 rígido	tieso
entrelazar	cocer
querencia	fantasma
migaja	galleta
 náusea	vómito
perla	ostra
rastrillo	afeitar
pronombre	sustantivo
deshonra	pena
demacrado	embriagado
saliente	acantilado
mermelada	tostado
cuarto de galón	pinta
mito	leyenda
tubo respirador	máscara
enfermedad	enfermo
grifo	lavabo
crujiente	dulce
whiskey	bebida
sartén	 freír
rocío	mojado
bruja	escoba
cautivo	 rehén
menos	restar
huerta	flor
gema	joya
advertir	peligro
 látigo	azotar
tubo respirador	nadar
asalto	robo
agravar	molestar
calceta	medias
 aflicción	tristeza
cloro	blanqueador
esmoquin	baile de graduación
escocés	whisky
hamburguesa	bollo
contenedor	tupperware
sarpullido	comezón
 chófer	limusina
fabricante	creador
lavaplatos	 jabón
querencia	asustar
cinco	seis
principiante	novato
 borbón	whisky
antídoto	veneno
disminuir	lección
tranquilo	callado
puntuación 	 gramática 
cauteloso	cansado
persiana	cortina
patos	graznar
remendar	cocer
zanja	foso
banquero	cajero
electrodoméstico 	estufa
brillante	opaco
grácilmente	ballet
clarinete	flauta
cubiertos	tenedor
peso	balanza
esbelto	delgado
regañar	gritar
estera	tapete
pepinillos	frasco
vela	llama
asar	hornear
laca	pegajoso
mariposa	polilla
esbelto	delgado
tubo respirador	bucear
costura	puntada
cosechar	sembrar
neutrón	átomo
cuarto de galón	galón
melodía	tonada
costura	cocer
hongo	moho
serpentear	gusano
afeitar	barba
sed	hambre
gotera	grifo
huella	llanta
salsa de pepinillos	pepinillos
hebilla	zapato
 negación	rehusar
maquinilla	tijeras
vomito	devolver
tener cuidado	peligo
camello	joroba
cerrojo	candado
puño 	manga
dedal	cocer
chabola	choza
manchar	desorden
haraganear	perezoso
salvado	hojuela
esponja	empapar
bastilla	cocer
ridículo	reír
cactus	espinoso
antídoto	cura
carne de carnero	cordero
crepúsculo	anochecer
temperamento	ira
lámpara 	bombilla
servir	derramar
galón	jarro
adjetivo	verbo
bailarina	bailarín
cavar	pala
engrudo	pegajoso
alforja	mochila
daga	espada
acurrucar	abrazo
robo	hurto
bandido	 ladrón
paleta	piruleta
huerto	bosquecillo
escalofrío	temblar
media	calceta
educado	grosero
divertir	entretener
mentiroso	engañar
depilar	cejas
berrinche	temperamento
tallo	maíz
furtivo	taimado
sediento	hambriento
agrio	ácido
tranquilo	calmado
engreído	arrogante
dragón	calabozo
pepinillos	agrio
gallo 	cuervo
as 	venda
tifón	laguna
 calabacín	calabacita
robo	ladrón
buceador	buceo
servilleta	limpiar
adivinanza	rima
duna	calesa
relleno	 cojín
témpano	lechuga
Júpiter	Saturno
afelpada	tapete
pepinillos	agrio
solapa	cuello
turbar	molestar
energético	hiperactivo
azotar	castigar
obsesión	perfume
ajetreo	bullicio
barrio bajo	gueto
aficionado	principiante
zueco	zapato
haragán	desordenado
inhalar	respirar
bandido	ladrón
champiñón	hongo
cebada	avena
contralto	saxofón
nailons	medias
adverbio	sustantivo
cobarde	débil
resta	menos
estallar	explotar
tranquilo	en paz
aderezo	dulce de azucar
repulsivo	asqueroso
ropa interior	bragas
azada	rastrillo
serpentear	sacudir
 fotocopiadora	fotocopia
débil	empollón
calesa	carreta
pantuflas	bata
remordimiento	culpa
lamer	paleta
filósofo	Sócrates
enchufe	llave inglesa
nadador	buceador
pastelería	dona
molestar	irritar
magnificar	aumentar
sermón	predicador
tetera	hervidor
babosa	caracol
crujir	crujiente
ornamento	decoración
siete	ocho
hambruna	pasar hambre
empollón	menso
mareado	desmayarse
cuidado	 precaución
salvado	avena
aleatar	mariposa
persiana	sombras
presumido	arrogante
adjetivo	adverbio
nabo	verduras de hoja
asombro	asombrar
pestaña	rímel
desplumar	plumas
ancianos	abuelo
prohibir	impedir
deshonesto	mentiroso
robo	ladrón
almizcle	colonia
camarera	mesera
valentía	valor
tylenol	jaqueca
frustrar	molestar
vulgar	grosero
principiante	iniciador
viscoso	menjunje
arrogante	presumido
marfil	colmillo
caracol	viscoso
trance	hipnotizar
cejas	pestañas
escamas	caspa
neblina	 rocío 
hollín	chimenea
torpe	patoso
osado	valiente
gimnasta	atleta
desvanecerse	desmayarse
pluma	pergamino
incredulidad	creer
mimbre	vela
 escocés	raya
aroma	olor
adverbio	sustantivo
acechar	presa
separar	adjuntar
licuadora	batidora
dinosaurio	 jurásico
mimo	imitar
ascensión	descenso
varita mágica	hada
puré	aplastar
llave inglesa	destornillador
acurrucarse	abrazarse
apretado	tenso
bloqueo	barricada
húmedo	mojado
regañar	castigar
descomponerse	pudrirse
voltio	 relámpago
débil 	 frágil 
orégano	espaguetis
cornamenta	cuernos
vocear	gritar
traidor	mentiroso
gimnasia	voltereta
maletín 	maleta
 vudú	 brujería
compulsión	obsesión
uña del pie	cortaúñas
balde	pala
discapacidad	incapacitar
ahogarse	estrangular
hediondez	olor
 axón	dendrita
previsión	retrospectiva
asfixiar	almohada
ingenioso	astuto
vaselina	mermelada
neptuno	Plutón 
bellota	nuez
rancio	olor
ajetreo	apurarse
kleenex	estornudar
ternera	parmesano
tocar el claxon	pitido
cervato	cierva
masticar ruidosamente	masticar
descongelar	derretirse
mora	arándano
nailon	pantys
técnico	electricista
baboso	resbaladizo
galope	trote
 tacaño	avaro
espantar	asustar
compadecer	pena
agresivo	mandón
adornar	decorar
pañuelo	estornudar
cavador	zanja
iglú	esquimal
asfixiar	sofocar
bandido	humeante
cortinas	persiana
desintegrarse	disolverse
ulular	vocear
cornamenta	reno
nómada	vagabundo
con náuseas	vómito
electricista	plomero
asteroide	meteoro
ataúd	féretro
tutú	bailarina
diez	veinte
agravar	irritar
curiosidad	metiche
almizcle	olor
arrepentimiento	perdonar
crujiente	gomoso
barranca	zanja
equilibrio	postura
seriedad	honestidad
enanos	duendes
caspa	 champú
deshonra	vergüenza
bufanda	 pañuelo
cometa	cupid
serpentear	retorcerse
chantaje	soborno
almizcle	olor
coyote	aullar
hediondez	apestar
pizarrón 	borrador
frustrar	irritar
baba	rezumar
creído	arrogante
rancio	mojado
difamación	calumnia
deshelar	descongelar
triciclo	tres
uña	uña del pie
licuadora	daiquiri
diez	once
copo	caspa
agresivo	empujón
grillo	pío
meteorito	cometa
sinceridad	bondad
pelusa	tamo
virar	viraje
espejismo	ilusión
chillido	chillar
vaselina	grasiento
pasarela 	corredor
deshelar	derretir 
coyote	correcaminos
cinco	diez
sorber	tragar
bandanna	bufanda
pañuelo	kleenex
pañuelo	mocos
centelleo	destellar
barranco	helecho
tostado	quemado
enanos	siete
vatio	voltio
gimnasta	acróbata 
dócil 	humilde
erosionar	carcomer
dormitar	siesta
aflojar	desatar
sofocar	ahogarse
reprender	regañar
pizarrón 	pizzara
principiante	aprendiz
abrazarse	suavizante
grano	acné
bolonia	salami
metiche	entrometido
mocos	moco reseco
altivo	arrogante
maletín 	adjunto
engreído	creído
temblar	 escalofrío 
termita	peste
péndulo	hipnotizar
horóscopo 	acuario
trance	aturdimiento
chillar	chismosear
pomada	apaciguar
valor	 valentía 
radiador	refrigerante
vaselina	lubricante
gimnasta	flexible
bondad	amabilidad
seriedad	veracidad
persiana	vertical
horóscopo	astrología
gasa	curita
chillido	rechinar
apático	insensible
asombrar	sorprender
borronear	garabatear
copiador	tramposo
cizallas	podadora
diadema	pañuelo
plomo	flotador
doce	once
curita	rasponcito
acariciar	toquetear
asombrar	pasmar
sorber	medio derritido
pomada	neosporin
lubricar	vaselina
vaselina	agrietado
mentol	eucalipto
periscopio	caleidoscopio
lubricar	humedecer
pañuelo	moco
desheredar	no amado
verruga	mancha
tacañano	avaro
culebrear	escabullirse
volante	pliegue
grano	mancha
lienzo	lona
diadema	pulsera
hipnotizar	cautivar
altivo	creído
pañuelo	pañoleta
santidad	devoción
demonio necrófago	duende
verruga	grano
tacto	buenos modales
clip	atar
